RelationshipType,Source,Target
SPDXRef-Package-k8sgcrioconformance-s390xv1220-alpha3,CONTAINS,SPDXRef-Package-5bab8a1d6a695397245a6a12a9a94c554600f40a
SPDXRef-Package-k8sgcrioconformance-s390xv1220-alpha3,CONTAINS,SPDXRef-Package-b6d33cffea8e8b33d14987cc425f311c4ceb178b
SPDXRef-Package-k8sgcrioconformance-s390xv1220-alpha3,CONTAINS,SPDXRef-Package-10af7bcf887920d1df01601137a7f5289d84b5ee
SPDXRef-Package-k8sgcrioconformance-s390xv1220-alpha3,CONTAINS,SPDXRef-Package-a8eff69059366ac560eed53ca2b5adfdc2732342
SPDXRef-Package-k8sgcrioconformance-s390xv1220-alpha3,CONTAINS,SPDXRef-Package-89b9b1ceaecec13e2025439a35a7b720b40535c5
SPDXRef-Package-k8sgcrioconformance-s390xv1220-alpha3,CONTAINS,SPDXRef-Package-038b7ee4956852e50de42d65ce8eefe0533d348b
SPDXRef-Package-k8sgcrioconformance-s390xv1220-alpha3,CONTAINS,SPDXRef-Package-905884e5814a433539baaffd475027793a6ae64d
SPDXRef-Package-k8sgcrioconformance-s390xv1220-alpha3,CONTAINS,SPDXRef-Package-f28ca4f0254c0d896851a39c53373770c3c32fde
SPDXRef-DOCUMENT,DESCRIBES,SPDXRef-Package-k8sgcrioconformance-s390xv1220-alpha3
SPDXRef-Package-k8sgcriokube-proxy-s390xv1220-alpha3,CONTAINS,SPDXRef-Package-a2c226df3222aa6a7942dd44e2a870e2b813dd3a
